order,page,route,title,component,source_file,source_bytes,source_exists,image_signals,media_signals,interaction_signals,narrative_signals,gift_signals,shared_template,design_tokens,source_fingerprint,thin_candidate,broken_candidate,note,memory,compliment,gift,message,surprise
"11","011","/compliment-jar","The Compliments Abu Saves","ComplimentJarPage","src/pages/ComplimentJarPage.jsx + src/components/ComplimentJar.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/whatsappHelper.js","122451","true","12","33","72","658","172","ComplimentJar","from-amber-400 to-amber-600 from-rose-500 to-pink-600 from-orange-400 to-amber-500 from-sky-400 to-blue-600 from-pink-400 to-rose-500 from-purple-500 to-indigo-600","e6c4c52f38","NO","NO","The Compliments Abu Saves uses ComplimentJarPage. Memory: late-night video calls between Nepalgunj and Sakai, Osaka. Gift: a compliment saved for your next tired day. Voice: Samjhana, my Sanu, Abu made the Compliment Jar room around late-night video calls between Nepalgunj and Sakai, Osaka. Open this when you miss Abu..","late-night video calls between Nepalgunj and Sakai, Osaka","You make ordinary food, ordinary calls, and ordinary rooms feel like memories.","a compliment saved for your next tired day","Samjhana, my Sanu, Abu made the Compliment Jar room around late-night video calls between Nepalgunj and Sakai, Osaka. Open this when you miss Abu.","The secret is simple: Abu would still choose you in every version of the story. You make ordinary food, ordinary calls, and ordinary rooms feel like m"
"12","012","/quote-generator","Words Abu Wants You to Hear","QuoteGeneratorPage","src/pages/QuoteGeneratorPage.jsx + src/components/TypewriterQuotes.jsx + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","94357","true","9","30","48","621","148","TypewriterQuotes","text-center rounded-full bg-rose-100 border-rose-200 text-rose-600 font-bold text-xs shadow-sm font-ui text-pink-500 text-2xl text-4xl","0bae363c3f","NO","NO","Words Abu Wants You to Hear uses QuoteGeneratorPage. Memory: the future light-blue scooter ride toward Bardiya. Gift: a compliment saved for your next tired day. Voice: Samjhana, my Sanu, Abu made the Quote Generator room around the future light-blue scooter ride toward Bardiya. Open this when you miss Abu..","the future light-blue scooter ride toward Bardiya","Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight.","a compliment saved for your next tired day","Samjhana, my Sanu, Abu made the Quote Generator room around the future light-blue scooter ride toward Bardiya. Open this when you miss Abu.","The secret is simple: Abu would still choose you in every version of the story. Your voice can cross the Nepalgunj-to-Sakai distance faster than any f"
"13","013","/mystery-gifts","Four Gifts for Samjhana","MysteryGiftsPage","src/pages/MysteryGiftsPage.jsx + src/components/MysteryGiftBoxes.jsx + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js + src/utils/whatsappHelper.js","98414","true","9","30","59","628","174","MysteryGiftBoxes","text-center rounded-full bg-rose-100 border-rose-200 text-rose-600 font-bold text-xs shadow-sm font-ui text-pink-500 text-2xl text-4xl","fc73656af7","NO","NO","Four Gifts for Samjhana uses MysteryGiftsPage. Memory: late-night video calls between Nepalgunj and Sakai, Osaka. Gift: a private letter from Abu. Voice: Samjhana, my Babe, Abu made the Mystery Gifts room around late-night video calls between Nepalgunj and Sakai, Osaka. This is a reminder that you are l.","late-night video calls between Nepalgunj and Sakai, Osaka","You make ordinary food, ordinary calls, and ordinary rooms feel like memories.","a private letter from Abu","Samjhana, my Babe, Abu made the Mystery Gifts room around late-night video calls between Nepalgunj and Sakai, Osaka. This is a reminder that you are l","Open this when you miss Abu. You make ordinary food, ordinary calls, and ordinary rooms feel like memories. This page is Abu’s a promise folded into a"
"14","014","/passport","Our Nepalgunj-to-Sakai Ticket","PassportPage","src/pages/PassportPage.jsx + src/components/CouplePassport.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js","82153","true","9","30","12","484","124","CouplePassport","rounded-3xl border-2 border-blue-200 shadow-2xl bg-gradient-to-r from-blue-900 via-indigo-950 to-slate-900 text-white text-left border-b border-blue-800/80","4d6f3b9b44","NO","NO","Our Nepalgunj-to-Sakai Ticket uses PassportPage. Memory: dropping you at the Language Institute before Japan. Gift: a tiny memory ticket from Nepalgunj. Voice: Samjhana, my Samjhana, Abu made the Passport room around dropping you at the Language Institute before Japan. A small surprise: Abu remembers more tha.","dropping you at the Language Institute before Japan","Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves.","a tiny memory ticket from Nepalgunj","Samjhana, my Samjhana, Abu made the Passport room around dropping you at the Language Institute before Japan. A small surprise: Abu remembers more tha","Keep this for the next time distance feels loud. Your moods, your laugh, your quiet, and your Bhoot moments all belong to the girl Abu loves. This pag"
"15","015","/message-bottle","A Message Abu Sent Across the Water","BottlePage","src/pages/BottlePage.jsx + src/components/MessageInBottle.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","109466","true","9","30","64","626","153","MessageInBottle","rounded-3xl bg-gradient-to-b from-cyan-900 via-blue-900 to-indigo-950 border-2 border-cyan-400 shadow-2xl text-cyan-300 text-center bg-cyan-200/30 rounded-b-3xl","1b46be38d3","NO","NO","A Message Abu Sent Across the Water uses BottlePage. Memory: Water Park laughter and the day moving too quickly. Gift: a quiet “open when” note for your pocket. Voice: Samjhana, my Fuchee, Abu made the Message Bottle room around Water Park laughter and the day moving too quickly. This page is a soft place to land whe.","Water Park laughter and the day moving too quickly","Your “huss” can make a long day feel close again.","a quiet “open when” note for your pocket","Samjhana, my Fuchee, Abu made the Message Bottle room around Water Park laughter and the day moving too quickly. This page is a soft place to land whe","A small surprise: Abu remembers more than he says. Your “huss” can make a long day feel close again. This page is Abu’s a promise map for the places w"
"16","016","/music-box","The Song Abu Hears in Your Name","MusicBoxPage","src/pages/MusicBoxPage.jsx + src/components/LoveMusicBox.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","111679","true","9","30","66","629","148","LoveMusicBox","rounded-3xl border-2 border-purple-300 shadow-2xl bg-gradient-to-b from-amber-100 via-amber-50 to-pink-50 text-center text-rose-500 font-black text-xl","f43d5ab74a","NO","NO","The Song Abu Hears in Your Name uses MusicBoxPage. Memory: Bageshwori Temple and the prayers we carried home. Gift: a voice-note moment for the nights you miss home. Voice: Samjhana, my Babe, Abu made the Music Box room around Bageshwori Temple and the prayers we carried home. The secret is simple: Abu would still choose .","Bageshwori Temple and the prayers we carried home","Your smile makes Abu forget what he was worried about.","a voice-note moment for the nights you miss home","Samjhana, my Babe, Abu made the Music Box room around Bageshwori Temple and the prayers we carried home. The secret is simple: Abu would still choose ","The gift inside is not expensive; it is specific to you. Your smile makes Abu forget what he was worried about. This page is Abu’s a small surprise bo"
"17","017","/lanterns","Wishes Abu Sends Up for You","LanternsPage","src/pages/LanternsPage.jsx + src/components/SkyLanterns.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","108222","true","9","30","57","621","155","SkyLanterns","bg-gradient-to-b from-[ to-[ rounded-3xl via-[ border-amber-700/50 shadow-2xl rounded-t-2xl rounded-b-lg border-2 bg-gradient-to-t from-amber-500","24b046d5f8","NO","NO","Wishes Abu Sends Up for You uses LanternsPage. Memory: the dream of Pokhara, Manang, and Mustang waiting for us. Gift: a tiny memory ticket from Nepalgunj. Voice: Samjhana, my Sanzu, Abu made the Lanterns room around the dream of Pokhara, Manang, and Mustang waiting for us. A small surprise: Abu remembers more t.","the dream of Pokhara, Manang, and Mustang waiting for us","You are beautiful in the moments you never think to pose for.","a tiny memory ticket from Nepalgunj","Samjhana, my Sanzu, Abu made the Lanterns room around the dream of Pokhara, Manang, and Mustang waiting for us. A small surprise: Abu remembers more t","Keep this for the next time distance feels loud. You are beautiful in the moments you never think to pose for. This page is Abu’s a voice-note moment "
"18","018","/photo-booth","The Photo Room for Sanzu","PhotoBoothPage","src/pages/PhotoBoothPage.jsx + src/components/PolaroidPhotoBooth.jsx + src/components/WorldShell.jsx + src/themes.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","55892","true","8","28","60","156","26","PolaroidPhotoBooth","bg-white border-2 border-pink-200 rounded-2xl shadow-2xl text-left rounded-xl bg-pink-50 border-gray-200 text-3xl shadow-md bg-pink-600/90","fb6de7b217","NO","NO","The Photo Room for Sanzu uses PhotoBoothPage. Memory: Bageshwori Temple and the prayers we carried home. Gift: a birthday blessing written in Abu’s handwriting. Voice: Samjhana, my Samjhana, Abu made the Photo Booth room around Bageshwori Temple and the prayers we carried home. The gift inside is not expensive; it is.","Bageshwori Temple and the prayers we carried home","Your smile makes Abu forget what he was worried about.","a birthday blessing written in Abu’s handwriting","Samjhana, my Samjhana, Abu made the Photo Booth room around Bageshwori Temple and the prayers we carried home. The gift inside is not expensive; it is","This is a reminder that you are loved in the details. Your smile makes Abu forget what he was worried about. This page is Abu’s a tiny cinema ticket f"
"19","019","/promise-tree","The Promises Abu Planted","PromiseTreePage","src/pages/PromiseTreePage.jsx + src/components/SakuraPromiseTree.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","109145","true","9","30","64","642","169","SakuraPromiseTree","rounded-3xl bg-gradient-to-b from-pink-50 via-rose-50 to-pink-100 border-2 border-pink-300 shadow-2xl bg-amber-800 rounded-t-full border-t-2 border-amber-900","617d55d8c1","NO","NO","The Promises Abu Planted uses PromiseTreePage. Memory: late-night video calls between Nepalgunj and Sakai, Osaka. Gift: a compliment saved for your next tired day. Voice: Samjhana, my Bebo, Abu made the Promise Tree room around late-night video calls between Nepalgunj and Sakai, Osaka. Open this when you miss Abu..","late-night video calls between Nepalgunj and Sakai, Osaka","You make ordinary food, ordinary calls, and ordinary rooms feel like memories.","a compliment saved for your next tired day","Samjhana, my Bebo, Abu made the Promise Tree room around late-night video calls between Nepalgunj and Sakai, Osaka. Open this when you miss Abu.","The secret is simple: Abu would still choose you in every version of the story. You make ordinary food, ordinary calls, and ordinary rooms feel like m"
"20","020","/treasure-chest","The Keepsake Abu Locked Away","TreasureChestPage","src/pages/TreasureChestPage.jsx + src/components/VIPTreasureChest.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","107972","true","9","30","56","626","149","VIPTreasureChest","rounded-3xl bg-gradient-to-br from-amber-400 via-amber-500 to-amber-700 border-4 border-amber-300 shadow-2xl rounded-full bg-amber-900 text-amber-300 shadow-inner","5ac8d27ea8","NO","NO","The Keepsake Abu Locked Away uses TreasureChestPage. Memory: the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. Gift: a bouquet of words for your soft days. Voice: Samjhana, my Bebo, Abu made the Treasure Chest room around the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. The gift inside .","the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home","You make Abu want to become gentler, steadier, and more worthy of your trust.","a bouquet of words for your soft days","Samjhana, my Bebo, Abu made the Treasure Chest room around the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. The gift inside ","This is a reminder that you are loved in the details. You make Abu want to become gentler, steadier, and more worthy of your trust. This page is Abu’s"
"21","021","/horoscope","Samjhana Written in the Stars","HoroscopePage","src/pages/HoroscopePage.jsx + src/components/LoveHoroscope.jsx + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/WorldShell.jsx + src/themes.js","80922","true","9","30","12","489","124","LoveHoroscope","bg-slate-950 text-amber-300 text-indigo-300 text-purple-300 text-left font-bold text-sm font-ui text-indigo-400/60 text-[11px] text-indigo-100 text-xs","08c38bc133","NO","NO","Samjhana Written in the Stars uses HoroscopePage. Memory: the day “Abhay” became “Abu” because you made it yours. Gift: a tiny cinema ticket for one moment Abu would replay. Voice: Samjhana, my Babe, Abu made the Horoscope room around the day “Abhay” became “Abu” because you made it yours. Read this slowly, Sanu. It was made for .","the day “Abhay” became “Abu” because you made it yours","You are the person behind every name Abu says with a softer voice.","a tiny cinema ticket for one moment Abu would replay","Samjhana, my Babe, Abu made the Horoscope room around the day “Abhay” became “Abu” because you made it yours. Read this slowly, Sanu. It was made for ","This page is a soft place to land when your day is heavy. You are the person behind every name Abu says with a softer voice. This page is Abu’s a priv"
"22","022","/love-calculator","The Measureless Love Abu Feels","LoveCalculatorPage","src/pages/LoveCalculatorPage.jsx + src/components/LoveCalculator.jsx + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","98949","true","9","30","65","647","148","LoveCalculator","text-center font-ui rounded-full bg-rose-100 text-rose-600 font-bold text-xs shadow-sm text-pink-500 text-2xl text-4xl font-extrabold","27729d65a9","NO","NO","The Measureless Love Abu Feels uses LoveCalculatorPage. Memory: the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. Gift: a Bageshwori memory pressed between two pages. Voice: Samjhana, my Sanu, Abu made the Love Calculator room around the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. This is a remin.","the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home","You make Abu want to become gentler, steadier, and more worthy of your trust.","a Bageshwori memory pressed between two pages","Samjhana, my Sanu, Abu made the Love Calculator room around the way you can be Sanzu, Bhuntu, Sanu, Babe, or Runchi and still be home. This is a remin","Open this when you miss Abu. You make Abu want to become gentler, steadier, and more worthy of your trust. This page is Abu’s a quiet “open when” note"
"23","023","/cooking-game","A Birthday Table for Sanu","CookingGamePage","src/pages/CookingGamePage.jsx + src/components/CakeBakingGame.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","109383","true","9","30","61","624","148","CakeBakingGame","rounded-full text-[11px] font-bold font-ui bg-rose-500 text-white border-rose-500 bg-gray-100 text-gray-600 rounded-3xl border-2 border-pink-300","0379779ddc","NO","NO","A Birthday Table for Sanu uses CookingGamePage. Memory: the future light-blue scooter ride toward Bardiya. Gift: a promise map for the places we still want to see. Voice: Samjhana, my Sanu, Abu made the Cooking Game room around the future light-blue scooter ride toward Bardiya. Open this when you miss Abu..","the future light-blue scooter ride toward Bardiya","Your voice can cross the Nepalgunj-to-Sakai distance faster than any flight.","a promise map for the places we still want to see","Samjhana, my Sanu, Abu made the Cooking Game room around the future light-blue scooter ride toward Bardiya. Open this when you miss Abu.","The secret is simple: Abu would still choose you in every version of the story. Your voice can cross the Nepalgunj-to-Sakai distance faster than any f"
"24","024","/love-pet","A Soft Companion for Lonely Days","LovePetPage","src/pages/LovePetPage.jsx + src/components/VirtualLovePet.jsx + src/components/WorldShell.jsx + src/themes.js + src/data/birthdayData.js + src/utils/mediaUtils.js + src/components/AudioController.jsx + src/store/useAppStore.js + src/data/roomSequence.js","107306","true","9","30","59","632","148","VirtualLovePet","rounded-3xl border-2 border-pink-300 shadow-2xl bg-white rounded-full bg-pink-100 text-7xl shadow-inner border-4 text-xs font-bold","a29d4744b6","NO","NO","A Soft Companion for Lonely Days uses LovePetPage. Memory: Bageshwori Temple and the prayers we carried home. Gift: a promise map for the places we still want to see. Voice: Samjhana, my Samjhana, Abu made the Love Pet room around Bageshwori Temple and the prayers we carried home. Open this when you miss Abu..","Bageshwori Temple and the prayers we carried home","Your smile makes Abu forget what he was worried about.","a promise map for the places we still want to see","Samjhana, my Samjhana, Abu made the Love Pet room around Bageshwori Temple and the prayers we carried home. Open this when you miss Abu.","The secret is simple: Abu would still choose you in every version of the story. Your smile makes Abu forget what he was worried about. This page is Ab"
