page_number,slug,category,primary_asset_id,secondary_assets,one_line_concept,mechanic_code,layout_type,mood_code,emotional_beat,photo_use_type
015,birthday-sky-letter,MILESTONE,, ,Unique page idea: Birthday Sky Letter,randomized-choice,ui-simulation,M-AMBER,distinct,TYPE-A
016,birthday-time-capsule2,SENSORY,, ,Unique page idea: Birthday Time Capsule2,audio,immersive-scroll,M-GOLD,distinct,TYPE-A
017,birthday-wish-letter,MEMORY,, ,Unique page idea: Birthday Wish Letter,reveal,interactive-canvas,M-NIGHT,distinct,TYPE-A
018,blessing-tree,LETTER,, ,Unique page idea: Blessing Tree,grow-or-assemble,masonry-grid,M-BLUSH,distinct,TYPE-A
019,bonus-arcade,CHAT,, ,Unique page idea: Bonus Arcade,audio,editorial-two-column,M-MONO,distinct,TYPE-A
020,bottle,WHY_I_LOVE,, ,Unique page idea: Bottle,message-sequence,horizontal-scroll,M-SEPIA,distinct,TYPE-A
021,bouquet,FUTURE,, ,Unique page idea: Bouquet,grow-or-assemble,full-bleed-hero,M-ELECT,distinct,TYPE-A
022,bouquet-reasons,SURPRISE,, ,Unique page idea: Bouquet Reasons,message-sequence,single-column,M-WINE,distinct,TYPE-A
023,bubble-pop,MILESTONE,, ,Unique page idea: Bubble Pop,guided-interaction,split-screen,M-PAPER,distinct,TYPE-A
024,bubble-wrap,SENSORY,, ,Unique page idea: Bubble Wrap,message-sequence,typography-first,M-DAWN,distinct,TYPE-A
025,bucket-list,MEMORY,, ,Unique page idea: Bucket List,visual-collection,ui-simulation,M-GREY,distinct,TYPE-A
026,candle-blower,LETTER,, ,Unique page idea: Candle Blower,grow-or-assemble,immersive-scroll,M-FOREST,distinct,TYPE-A
027,catcher-game,CHAT,, ,Unique page idea: Catcher Game,guided-interaction,interactive-canvas,M-DUSK,distinct,TYPE-A
028,cherry-blossom-wish-tree,WHY_I_LOVE,, ,Unique page idea: Cherry Blossom Wish Tree,visual-collection,masonry-grid,M-FIELD,distinct,TYPE-A
029,cloud-skywriter,FUTURE,, ,Unique page idea: Cloud Skywriter,message-sequence,editorial-two-column,M-FROST,distinct,TYPE-A
030,compliment-jar,SURPRISE,, ,Unique page idea: Compliment Jar,audio,horizontal-scroll,M-AMBER,distinct,TYPE-A
031,cooking-game,MILESTONE,, ,Unique page idea: Cooking Game,guided-interaction,full-bleed-hero,M-GOLD,distinct,TYPE-A
032,couple-anniversary-clock,SENSORY,, ,Unique page idea: Couple Anniversary Clock,spatial-exploration,single-column,M-NIGHT,distinct,TYPE-A
033,couple-anniversary-timeline,MEMORY,, ,Unique page idea: Couple Anniversary Timeline,spatial-exploration,split-screen,M-BLUSH,distinct,TYPE-A
034,couple-bingo,LETTER,, ,Unique page idea: Couple Bingo,game-or-puzzle,typography-first,M-MONO,distinct,TYPE-A
035,couple-bucket-list2,CHAT,, ,Unique page idea: Couple Bucket List2,message-sequence,ui-simulation,M-SEPIA,distinct,TYPE-A
036,couple-bucket-list-globe,WHY_I_LOVE,, ,Unique page idea: Couple Bucket List Globe,audio,immersive-scroll,M-ELECT,distinct,TYPE-A
037,couple-bucket-list,FUTURE,, ,Unique page idea: Couple Bucket List,visual-collection,interactive-canvas,M-WINE,distinct,TYPE-A
038,couple-bucket-list-spinner,SURPRISE,, ,Unique page idea: Couple Bucket List Spinner,randomized-choice,masonry-grid,M-PAPER,distinct,TYPE-A
039,couple-cookbook,MILESTONE,, ,Unique page idea: Couple Cookbook,audio,editorial-two-column,M-DAWN,distinct,TYPE-A
040,couple-daily-horoscope,SENSORY,, ,Unique page idea: Couple Daily Horoscope,randomized-choice,horizontal-scroll,M-GREY,distinct,TYPE-A
041,couple-escape-room,MEMORY,, ,Unique page idea: Couple Escape Room,reveal,full-bleed-hero,M-FOREST,distinct,TYPE-A
042,couple-future-home3-d,LETTER,, ,Unique page idea: Couple Future Home3 D,spatial-exploration,single-column,M-DUSK,distinct,TYPE-A
043,couple-milestone-map2,CHAT,, ,Unique page idea: Couple Milestone Map2,message-sequence,split-screen,M-FIELD,distinct,TYPE-A
044,couple-milestone-map,WHY_I_LOVE,, ,Unique page idea: Couple Milestone Map,time-reveal,typography-first,M-FROST,distinct,TYPE-A
045,couple-movie-marathon,FUTURE,, ,Unique page idea: Couple Movie Marathon,audio,ui-simulation,M-AMBER,distinct,TYPE-A
046,couple-movie-night,SURPRISE,, ,Unique page idea: Couple Movie Night,message-sequence,immersive-scroll,M-GOLD,distinct,TYPE-A
047,couple-nickname-generator,MILESTONE,, ,Unique page idea: Couple Nickname Generator,guided-interaction,interactive-canvas,M-NIGHT,distinct,TYPE-A
048,couple-questions-deep,SENSORY,, ,Unique page idea: Couple Questions Deep,message-sequence,masonry-grid,M-BLUSH,distinct,TYPE-A
049,couple-quiz2,MEMORY,, ,Unique page idea: Couple Quiz2,game-or-puzzle,editorial-two-column,M-MONO,distinct,TYPE-A
050,couple-quiz-master,LETTER,, ,Unique page idea: Couple Quiz Master,game-or-puzzle,horizontal-scroll,M-SEPIA,distinct,TYPE-A
051,couple-recipe-book,CHAT,, ,Unique page idea: Couple Recipe Book,guided-interaction,full-bleed-hero,M-ELECT,distinct,TYPE-A
052,couple-relationship-cert,WHY_I_LOVE,, ,Unique page idea: Couple Relationship Cert,guided-interaction,single-column,M-WINE,distinct,TYPE-A
053,couple-soundtrack,FUTURE,, ,Unique page idea: Couple Soundtrack,audio,split-screen,M-PAPER,distinct,TYPE-A
054,couple-starry-planetarium,SURPRISE,, ,Unique page idea: Couple Starry Planetarium,spatial-exploration,typography-first,M-DAWN,distinct,TYPE-A
055,couple-superlatives,MILESTONE,, ,Unique page idea: Couple Superlatives,message-sequence,ui-simulation,M-GREY,distinct,TYPE-A
056,couple-travel-passport-stamps,SENSORY,, ,Unique page idea: Couple Travel Passport Stamps,visual-collection,immersive-scroll,M-FOREST,distinct,TYPE-A
057,couple-yearbook,MEMORY,, ,Unique page idea: Couple Yearbook,spatial-exploration,interactive-canvas,M-DUSK,distinct,TYPE-A
058,couples-secret-handshake,LETTER,, ,Unique page idea: Couples Secret Handshake,message-sequence,masonry-grid,M-FIELD,distinct,TYPE-A
059,coupon-vault,CHAT,, ,Unique page idea: Coupon Vault,visual-collection,editorial-two-column,M-FROST,distinct,TYPE-A
060,cupcake-decorator,WHY_I_LOVE,, ,Unique page idea: Cupcake Decorator,guided-interaction,horizontal-scroll,M-AMBER,distinct,TYPE-A
061,cupid-archery,FUTURE,, ,Unique page idea: Cupid Archery,audio,full-bleed-hero,M-GOLD,distinct,TYPE-A
062,cupid-radio-djstation,SURPRISE,, ,Unique page idea: Cupid Radio DJStation,audio,single-column,M-NIGHT,distinct,TYPE-A
063,curated-journey,MILESTONE,, ,Unique page idea: Curated Journey,audio,split-screen,M-BLUSH,distinct,TYPE-A
064,distance,SENSORY,, ,Unique page idea: Distance,guided-interaction,typography-first,M-MONO,distinct,TYPE-A
065,dragon-princess-adventure,MEMORY,, ,Unique page idea: Dragon Princess Adventure,audio,ui-simulation,M-SEPIA,distinct,TYPE-A
066,emoji-art-canvas,LETTER,, ,Unique page idea: Emoji Art Canvas,message-sequence,immersive-scroll,M-ELECT,distinct,TYPE-A
067,emoji-story,CHAT,, ,Unique page idea: Emoji Story,guided-interaction,interactive-canvas,M-WINE,distinct,TYPE-A
068,enchanted-crystal-ball,WHY_I_LOVE,, ,Unique page idea: Enchanted Crystal Ball,visual-collection,masonry-grid,M-PAPER,distinct,TYPE-A
069,enchanted-rose-garden,FUTURE,, ,Unique page idea: Enchanted Rose Garden,grow-or-assemble,editorial-two-column,M-DAWN,distinct,TYPE-A
070,fairy-tale-generator,SURPRISE,, ,Unique page idea: Fairy Tale Generator,guided-interaction,horizontal-scroll,M-GREY,distinct,TYPE-A
071,ferris-wheel,MILESTONE,, ,Unique page idea: Ferris Wheel,randomized-choice,full-bleed-hero,M-FOREST,distinct,TYPE-A
072,firework-maker,SENSORY,, ,Unique page idea: Firework Maker,grow-or-assemble,single-column,M-DUSK,distinct,TYPE-A
073,fireworks,MEMORY,, ,Unique page idea: Fireworks,reveal,split-screen,M-FIELD,distinct,TYPE-A
074,first-moments-timeline,LETTER,, ,Unique page idea: First Moments Timeline,time-reveal,typography-first,M-FROST,distinct,TYPE-A
075,fortune-cookie-love,CHAT,, ,Unique page idea: Fortune Cookie Love,randomized-choice,ui-simulation,M-AMBER,distinct,TYPE-A
076,fortune-cookie,WHY_I_LOVE,, ,Unique page idea: Fortune Cookie,randomized-choice,immersive-scroll,M-GOLD,distinct,TYPE-A
077,four-seasons-of-love,FUTURE,, ,Unique page idea: Four Seasons Of Love,audio,interactive-canvas,M-NIGHT,distinct,TYPE-A
078,future-house-builder,SURPRISE,, ,Unique page idea: Future House Builder,visual-collection,masonry-grid,M-BLUSH,distinct,TYPE-A
079,future-house-builder-second,MILESTONE,, ,Unique page idea: Future House Builder Second,message-sequence,editorial-two-column,M-MONO,distinct,TYPE-A
080,future-night-ride,SENSORY,, ,Unique page idea: Future Night Ride,message-sequence,horizontal-scroll,M-SEPIA,distinct,TYPE-A
081,gallery,MEMORY,, ,Unique page idea: Gallery,visual-collection,full-bleed-hero,M-ELECT,distinct,TYPE-A
082,grand-love-galaxy3-d,LETTER,, ,Unique page idea: Grand Love Galaxy3 D,spatial-exploration,single-column,M-WINE,distinct,TYPE-A
083,grand-love-universe,CHAT,, ,Unique page idea: Grand Love Universe,spatial-exploration,split-screen,M-PAPER,distinct,TYPE-A
084,hall-of-fame,WHY_I_LOVE,, ,Unique page idea: Hall Of Fame,guided-interaction,typography-first,M-DAWN,distinct,TYPE-A
085,heart-bubble-tea-maker,FUTURE,, ,Unique page idea: Heart Bubble Tea Maker,audio,ui-simulation,M-GREY,distinct,TYPE-A
086,heart-mailbox,SURPRISE,, ,Unique page idea: Heart Mailbox,message-sequence,immersive-scroll,M-FOREST,distinct,TYPE-A
087,heart-shape-tangram,MILESTONE,, ,Unique page idea: Heart Shape Tangram,visual-collection,interactive-canvas,M-DUSK,distinct,TYPE-A
088,heartbeat-drum-pad,SENSORY,, ,Unique page idea: Heartbeat Drum Pad,audio,masonry-grid,M-FIELD,distinct,TYPE-A
089,home,MEMORY,, ,Unique page idea: Home,audio,editorial-two-column,M-FROST,distinct,TYPE-A
090,horoscope,LETTER,, ,Unique page idea: Horoscope,randomized-choice,horizontal-scroll,M-AMBER,distinct,TYPE-A
091,hug-counter,CHAT,, ,Unique page idea: Hug Counter,guided-interaction,full-bleed-hero,M-GOLD,distinct,TYPE-A
092,infinite-reasons-machine,WHY_I_LOVE,, ,Unique page idea: Infinite Reasons Machine,message-sequence,single-column,M-NIGHT,distinct,TYPE-A
093,jigsaw,FUTURE,, ,Unique page idea: Jigsaw,guided-interaction,split-screen,M-BLUSH,distinct,TYPE-A
094,kiss-collector,SURPRISE,, ,Unique page idea: Kiss Collector,message-sequence,typography-first,M-MONO,distinct,TYPE-A
095,lanterns,MILESTONE,, ,Unique page idea: Lanterns,letter-or-paper,ui-simulation,M-SEPIA,distinct,TYPE-A
096,letter,SENSORY,, ,Unique page idea: Letter,letter-or-paper,immersive-scroll,M-ELECT,distinct,TYPE-A
097,letter-tonight,MEMORY,, ,Unique page idea: Letter Tonight,message-sequence,interactive-canvas,M-WINE,distinct,TYPE-A
098,little-things,LETTER,, ,Unique page idea: Little Things,message-sequence,masonry-grid,M-PAPER,distinct,TYPE-A
099,love-achievement-badges,CHAT,, ,Unique page idea: Love Achievement Badges,guided-interaction,editorial-two-column,M-DAWN,distinct,TYPE-A
100,love-advent-calendar,WHY_I_LOVE,, ,Unique page idea: Love Advent Calendar,audio,horizontal-scroll,M-GREY,distinct,TYPE-A
101,love-alarm,FUTURE,, ,Unique page idea: Love Alarm,message-sequence,full-bleed-hero,M-FOREST,distinct,TYPE-A
102,love-anagram-solver,SURPRISE,, ,Unique page idea: Love Anagram Solver,message-sequence,single-column,M-DUSK,distinct,TYPE-A
103,love-aquarium,MILESTONE,, ,Unique page idea: Love Aquarium,guided-interaction,split-screen,M-FIELD,distinct,TYPE-A
104,love-arcade-dance-machine,SENSORY,, ,Unique page idea: Love Arcade Dance Machine,audio,typography-first,M-FROST,distinct,TYPE-A
105,love-audio-visualizer2,MEMORY,, ,Unique page idea: Love Audio Visualizer2,audio,ui-simulation,M-AMBER,distinct,TYPE-A
106,love-audio-visualizer,LETTER,, ,Unique page idea: Love Audio Visualizer,audio,immersive-scroll,M-GOLD,distinct,TYPE-A
107,love-awards-night,CHAT,, ,Unique page idea: Love Awards Night,audio,interactive-canvas,M-NIGHT,distinct,TYPE-A
108,love-butterfly-catcher,WHY_I_LOVE,, ,Unique page idea: Love Butterfly Catcher,guided-interaction,masonry-grid,M-BLUSH,distinct,TYPE-A
109,love-calculator,FUTURE,, ,Unique page idea: Love Calculator,guided-interaction,editorial-two-column,M-MONO,distinct,TYPE-A
110,love-candle-light-dinner,SURPRISE,, ,Unique page idea: Love Candle Light Dinner,grow-or-assemble,horizontal-scroll,M-SEPIA,distinct,TYPE-A
111,love-chimes,MILESTONE,, ,Unique page idea: Love Chimes,message-sequence,full-bleed-hero,M-ELECT,distinct,TYPE-A
112,love-clock,SENSORY,, ,Unique page idea: Love Clock,spatial-exploration,single-column,M-WINE,distinct,TYPE-A
113,love-compass,MEMORY,, ,Unique page idea: Love Compass,audio,split-screen,M-PAPER,distinct,TYPE-A
114,love-compatibility-matrix,LETTER,, ,Unique page idea: Love Compatibility Matrix,grow-or-assemble,typography-first,M-DAWN,distinct,TYPE-A
115,love-constellation-connect,CHAT,, ,Unique page idea: Love Constellation Connect,spatial-exploration,ui-simulation,M-GREY,distinct,TYPE-A
116,love-constellation-maker,WHY_I_LOVE,, ,Unique page idea: Love Constellation Maker,visual-collection,immersive-scroll,M-FOREST,distinct,TYPE-A
117,love-constellation-painter,FUTURE,, ,Unique page idea: Love Constellation Painter,reveal,interactive-canvas,M-DUSK,distinct,TYPE-A
118,love-constellation-stargazer,SURPRISE,, ,Unique page idea: Love Constellation Stargazer,visual-collection,masonry-grid,M-FIELD,distinct,TYPE-A
119,love-coronation-ceremony,MILESTONE,, ,Unique page idea: Love Coronation Ceremony,guided-interaction,editorial-two-column,M-FROST,distinct,TYPE-A
120,love-couple-time-capsule-lock-box,SENSORY,, ,Unique page idea: Love Couple Time Capsule Lock Box,time-reveal,horizontal-scroll,M-AMBER,distinct,TYPE-A
121,love-coupon-generator,MEMORY,, ,Unique page idea: Love Coupon Generator,guided-interaction,full-bleed-hero,M-GOLD,distinct,TYPE-A
122,love-crossword,LETTER,, ,Unique page idea: Love Crossword,game-or-puzzle,single-column,M-NIGHT,distinct,TYPE-A
123,love-crossword-puzzle,CHAT,, ,Unique page idea: Love Crossword Puzzle,game-or-puzzle,split-screen,M-BLUSH,distinct,TYPE-A
124,love-dated-calendar,WHY_I_LOVE,, ,Unique page idea: Love Dated Calendar,time-reveal,typography-first,M-MONO,distinct,TYPE-A
125,love-diary,FUTURE,, ,Unique page idea: Love Diary,letter-or-paper,ui-simulation,M-SEPIA,distinct,TYPE-A
126,love-dice,SURPRISE,, ,Unique page idea: Love Dice,randomized-choice,immersive-scroll,M-ELECT,distinct,TYPE-A
127,love-doodle-canvas,MILESTONE,, ,Unique page idea: Love Doodle Canvas,letter-or-paper,interactive-canvas,M-WINE,distinct,TYPE-A
128,love-enchanted-glass-terrarium,SENSORY,, ,Unique page idea: Love Enchanted Glass Terrarium,guided-interaction,masonry-grid,M-PAPER,distinct,TYPE-A
129,love-envelope-collection,MEMORY,, ,Unique page idea: Love Envelope Collection,message-sequence,editorial-two-column,M-DAWN,distinct,TYPE-A
130,love-envelope,LETTER,, ,Unique page idea: Love Envelope,message-sequence,horizontal-scroll,M-GREY,distinct,TYPE-A
131,love-fireflies,CHAT,, ,Unique page idea: Love Fireflies,guided-interaction,full-bleed-hero,M-FOREST,distinct,TYPE-A
132,love-firework-painter,WHY_I_LOVE,, ,Unique page idea: Love Firework Painter,reveal,single-column,M-DUSK,distinct,TYPE-A
133,love-fortune-cookie-jar,FUTURE,, ,Unique page idea: Love Fortune Cookie Jar,randomized-choice,split-screen,M-FIELD,distinct,TYPE-A
134,love-fortune-cookie,SURPRISE,, ,Unique page idea: Love Fortune Cookie,randomized-choice,typography-first,M-FROST,distinct,TYPE-A
135,love-fortune-teller-origami,MILESTONE,, ,Unique page idea: Love Fortune Teller Origami,randomized-choice,ui-simulation,M-AMBER,distinct,TYPE-A
136,love-frequency-tuner,SENSORY,, ,Unique page idea: Love Frequency Tuner,guided-interaction,immersive-scroll,M-GOLD,distinct,TYPE-A
137,love-graffiti-wall,MEMORY,, ,Unique page idea: Love Graffiti Wall,guided-interaction,interactive-canvas,M-NIGHT,distinct,TYPE-A
138,love-grand-finale,LETTER,, ,Unique page idea: Love Grand Finale,guided-interaction,masonry-grid,M-BLUSH,distinct,TYPE-A
139,love-grand-finale-second,CHAT,, ,Unique page idea: Love Grand Finale Second,message-sequence,editorial-two-column,M-MONO,distinct,TYPE-A
140,love-heart-nebula3-d,WHY_I_LOVE,, ,Unique page idea: Love Heart Nebula3 D,spatial-exploration,horizontal-scroll,M-SEPIA,distinct,TYPE-A
141,love-horoscope-daily,FUTURE,, ,Unique page idea: Love Horoscope Daily,randomized-choice,full-bleed-hero,M-ELECT,distinct,TYPE-A
142,love-horoscope-wheel,SURPRISE,, ,Unique page idea: Love Horoscope Wheel,randomized-choice,single-column,M-WINE,distinct,TYPE-A
143,love-jar-notes,MILESTONE,, ,Unique page idea: Love Jar Notes,message-sequence,split-screen,M-PAPER,distinct,TYPE-A
144,love-journal-prompt,SENSORY,, ,Unique page idea: Love Journal Prompt,letter-or-paper,typography-first,M-DAWN,distinct,TYPE-A
145,love-kaleidoscope,MEMORY,, ,Unique page idea: Love Kaleidoscope,guided-interaction,ui-simulation,M-GREY,distinct,TYPE-A
146,love-keychain-customizer,LETTER,, ,Unique page idea: Love Keychain Customizer,guided-interaction,immersive-scroll,M-FOREST,distinct,TYPE-A
147,love-language-test,CHAT,, ,Unique page idea: Love Language Test,message-sequence,interactive-canvas,M-DUSK,distinct,TYPE-A
148,love-languages-quiz,WHY_I_LOVE,, ,Unique page idea: Love Languages Quiz,game-or-puzzle,masonry-grid,M-FIELD,distinct,TYPE-A
149,love-letter-archive,FUTURE,, ,Unique page idea: Love Letter Archive,letter-or-paper,editorial-two-column,M-FROST,distinct,TYPE-A
150,love-letter-archive-vault,SURPRISE,, ,Unique page idea: Love Letter Archive Vault,message-sequence,horizontal-scroll,M-AMBER,distinct,TYPE-A
151,love-letter-generator,MILESTONE,, ,Unique page idea: Love Letter Generator,letter-or-paper,full-bleed-hero,M-GOLD,distinct,TYPE-A
152,love-letter-in-balloon,SENSORY,, ,Unique page idea: Love Letter In Balloon,letter-or-paper,single-column,M-NIGHT,distinct,TYPE-A
153,love-letter-pop-up3-d,MEMORY,, ,Unique page idea: Love Letter Pop Up3 D,letter-or-paper,split-screen,M-BLUSH,distinct,TYPE-A
154,love-lock-bridge,LETTER,, ,Unique page idea: Love Lock Bridge,guided-interaction,typography-first,M-MONO,distinct,TYPE-A
155,love-lottery,CHAT,, ,Unique page idea: Love Lottery,grow-or-assemble,ui-simulation,M-SEPIA,distinct,TYPE-A
156,love-love-story-comic-strip,WHY_I_LOVE,, ,Unique page idea: Love Love Story Comic Strip,guided-interaction,immersive-scroll,M-ELECT,distinct,TYPE-A
157,love-mad-libs,FUTURE,, ,Unique page idea: Love Mad Libs,guided-interaction,interactive-canvas,M-WINE,distinct,TYPE-A
158,love-map-canvas,SURPRISE,, ,Unique page idea: Love Map Canvas,guided-interaction,masonry-grid,M-PAPER,distinct,TYPE-A
159,love-maze,MILESTONE,, ,Unique page idea: Love Maze,spatial-exploration,editorial-two-column,M-DAWN,distinct,TYPE-A
160,love-memory-cube3-d,SENSORY,, ,Unique page idea: Love Memory Cube3 D,spatial-exploration,horizontal-scroll,M-GREY,distinct,TYPE-A
161,love-memory-film-strip,MEMORY,, ,Unique page idea: Love Memory Film Strip,guided-interaction,full-bleed-hero,M-FOREST,distinct,TYPE-A
162,love-memory-flip,LETTER,, ,Unique page idea: Love Memory Flip,guided-interaction,single-column,M-DUSK,distinct,TYPE-A
163,love-memory-match3-d,CHAT,, ,Unique page idea: Love Memory Match3 D,message-sequence,split-screen,M-FIELD,distinct,TYPE-A
164,love-memory-match,WHY_I_LOVE,, ,Unique page idea: Love Memory Match,guided-interaction,typography-first,M-FROST,distinct,TYPE-A
165,love-memory-tree3-d,FUTURE,, ,Unique page idea: Love Memory Tree3 D,grow-or-assemble,ui-simulation,M-AMBER,distinct,TYPE-A
166,love-message-in-abottle-ocean,SURPRISE,, ,Unique page idea: Love Message In ABottle Ocean,message-sequence,immersive-scroll,M-GOLD,distinct,TYPE-A
167,love-meteor-shower,MILESTONE,, ,Unique page idea: Love Meteor Shower,guided-interaction,interactive-canvas,M-NIGHT,distinct,TYPE-A
168,love-meter-deluxe,SENSORY,, ,Unique page idea: Love Meter Deluxe,guided-interaction,masonry-grid,M-BLUSH,distinct,TYPE-A
169,love-mirror-oracle,MEMORY,, ,Unique page idea: Love Mirror Oracle,guided-interaction,editorial-two-column,M-MONO,distinct,TYPE-A
170,love-music-box-carousel,LETTER,, ,Unique page idea: Love Music Box Carousel,audio,horizontal-scroll,M-SEPIA,distinct,TYPE-A
171,love-neon-sign-designer,CHAT,, ,Unique page idea: Love Neon Sign Designer,guided-interaction,full-bleed-hero,M-ELECT,distinct,TYPE-A
172,love-neon-sign-gallery,WHY_I_LOVE,, ,Unique page idea: Love Neon Sign Gallery,visual-collection,single-column,M-WINE,distinct,TYPE-A
173,love-notes-wall,FUTURE,, ,Unique page idea: Love Notes Wall,guided-interaction,split-screen,M-PAPER,distinct,TYPE-A
174,love-origami-heart,SURPRISE,, ,Unique page idea: Love Origami Heart,letter-or-paper,typography-first,M-DAWN,distinct,TYPE-A
175,love-passport-stamps,MILESTONE,, ,Unique page idea: Love Passport Stamps,audio,ui-simulation,M-GREY,distinct,TYPE-A
176,love-pet,SENSORY,, ,Unique page idea: Love Pet,guided-interaction,immersive-scroll,M-FOREST,distinct,TYPE-A
177,love-photo-booth,MEMORY,, ,Unique page idea: Love Photo Booth,visual-collection,interactive-canvas,M-DUSK,distinct,TYPE-A
178,love-photo-mosaic-builder,LETTER,, ,Unique page idea: Love Photo Mosaic Builder,visual-collection,masonry-grid,M-FIELD,distinct,TYPE-A
179,love-piano,CHAT,, ,Unique page idea: Love Piano,audio,editorial-two-column,M-FROST,distinct,TYPE-A
180,love-pixel-art-creator,WHY_I_LOVE,, ,Unique page idea: Love Pixel Art Creator,visual-collection,horizontal-scroll,M-AMBER,distinct,TYPE-A
181,love-poetry-fridge,FUTURE,, ,Unique page idea: Love Poetry Fridge,guided-interaction,full-bleed-hero,M-GOLD,distinct,TYPE-A
182,love-potion-brewery2,SURPRISE,, ,Unique page idea: Love Potion Brewery2,reveal,single-column,M-NIGHT,distinct,TYPE-A
183,love-potion-brewery,MILESTONE,, ,Unique page idea: Love Potion Brewery,grow-or-assemble,split-screen,M-BLUSH,distinct,TYPE-A
184,love-potion-lab2,SENSORY,, ,Unique page idea: Love Potion Lab2,message-sequence,typography-first,M-MONO,distinct,TYPE-A
185,love-potion-laboratory,MEMORY,, ,Unique page idea: Love Potion Laboratory,guided-interaction,ui-simulation,M-SEPIA,distinct,TYPE-A
186,love-potion,LETTER,, ,Unique page idea: Love Potion,guided-interaction,immersive-scroll,M-ELECT,distinct,TYPE-A
187,love-puzzle-slider,CHAT,, ,Unique page idea: Love Puzzle Slider,guided-interaction,interactive-canvas,M-WINE,distinct,TYPE-A
188,love-quiz-advanced,WHY_I_LOVE,, ,Unique page idea: Love Quiz Advanced,reveal,masonry-grid,M-PAPER,distinct,TYPE-A
189,love-quiz-personality,FUTURE,, ,Unique page idea: Love Quiz Personality,game-or-puzzle,editorial-two-column,M-DAWN,distinct,TYPE-A
190,love-radio,SURPRISE,, ,Unique page idea: Love Radio,audio,horizontal-scroll,M-GREY,distinct,TYPE-A
191,love-recipe,MILESTONE,, ,Unique page idea: Love Recipe,guided-interaction,full-bleed-hero,M-FOREST,distinct,TYPE-A
192,love-review,SENSORY,, ,Unique page idea: Love Review,guided-interaction,single-column,M-DUSK,distinct,TYPE-A
193,love-rhythm-drum-pad,MEMORY,, ,Unique page idea: Love Rhythm Drum Pad,guided-interaction,split-screen,M-FIELD,distinct,TYPE-A
194,love-rhythm-game,LETTER,, ,Unique page idea: Love Rhythm Game,message-sequence,typography-first,M-FROST,distinct,TYPE-A
195,love-scrabble,CHAT,, ,Unique page idea: Love Scrabble,game-or-puzzle,ui-simulation,M-AMBER,distinct,TYPE-A
196,love-scratch-card,WHY_I_LOVE,, ,Unique page idea: Love Scratch Card,reveal,immersive-scroll,M-GOLD,distinct,TYPE-A
197,love-scratch-off-gallery,FUTURE,, ,Unique page idea: Love Scratch Off Gallery,reveal,interactive-canvas,M-NIGHT,distinct,TYPE-A
198,love-scratch-off-gallery-second,SURPRISE,, ,Unique page idea: Love Scratch Off Gallery Second,reveal,masonry-grid,M-BLUSH,distinct,TYPE-A
199,love-scratch-voucher-book,MILESTONE,, ,Unique page idea: Love Scratch Voucher Book,reveal,editorial-two-column,M-MONO,distinct,TYPE-A
200,love-slots,SENSORY,, ,Unique page idea: Love Slots,randomized-choice,horizontal-scroll,M-SEPIA,distinct,TYPE-A
201,love-spell-caster,MEMORY,, ,Unique page idea: Love Spell Caster,guided-interaction,full-bleed-hero,M-ELECT,distinct,TYPE-A
